Game_ID,Blue_Team,Red_Team,Blue_Score,Red_Score,Blue_Win_Probability,Red_Win_Probability,Actual_Winner,Blue_Players,Red_Players
70616,Gen.G eSports,T1,4.470517545938492,0.03387787929851506,0.9924789286684943,0.007521071331505607,Gen.G eSports,5,5
70617,T1,Gen.G eSports,0.5455021870855603,4.999853253364563,0.09837100487850446,0.9016289951214955,Gen.G eSports,5,5
70621,KT Rolster,Hanwha Life eSports,2.045268167562142,4.592420697212219,0.30812956274829373,0.6918704372517063,Hanwha Life eSports,5,5
70622,KT Rolster,Hanwha Life eSports,1.3191544754372444,4.9995779395103455,0.2087688461560191,0.7912311538439809,Hanwha Life eSports,5,5
70627,Nongshim RedForce,T1,0.37275313924766884,4.9999998807907104,0.06937842440503736,0.9306215755949626,T1,5,5
70628,Nongshim RedForce,T1,0.18995615755175854,4.812222421169281,0.03797468534206683,0.9620253146579332,T1,5,5
70630,KT Rolster,Gen.G eSports,1.0020021238932486,4.983256995677948,0.16741165317585036,0.8325883468241496,Gen.G eSports,5,5
70631,KT Rolster,Gen.G eSports,1.0077119505473933,4.007755763363093,0.2009208329170352,0.7990791670829648,Gen.G eSports,5,5
70673,FlyQuest,LYON,4.4651267528533936,0.9994267986621708,0.8171073283040688,0.18289267169593115,FlyQuest,5,5
70674,LYON,FlyQuest,2.4700739909894764,4.60044527053833,0.34934831511310244,0.6506516848868976,FlyQuest,5,5
70676,Shopify Rebellion,100 Thieves,1.0973436341537308,4.999814212322235,0.17997625480337093,0.820023745196629,100 Thieves,5,5
70677,100 Thieves,Shopify Rebellion,0.9139322630708888,4.999496579170227,0.1545520014618997,0.8454479985381004,Shopify Rebellion,5,5
70678,Shopify Rebellion,100 Thieves,4.985504329204559,0.8735433936978154,0.8509069331722235,0.14909306682777648,Shopify Rebellion,5,5
70682,Vivo Keyd Stars,FURIA,0.011276349062755067,4.461340546607971,0.002521197170647461,0.9974788028293525,FURIA,5,5
70683,Vivo Keyd Stars,FURIA,4.939069747924805,0.16287658578354833,0.9680755979914117,0.03192440200858823,Vivo Keyd Stars,5,5
70684,Vivo Keyd Stars,FURIA,0.9161928803901986,4.616106867790222,0.16560796090116692,0.8343920390988331,FURIA,5,5
70712,G2 Esports,Team Heretics,4.999999165534973,0.0016433561641622171,0.999671436701637,0.0003285632983630233,G2 Esports,5,5
70713,G2 Esports,Team Heretics,5.0,1.034776817610691,0.8285310544391626,0.1714689455608374,G2 Esports,5,5
70715,Movistar KOI,GIANTX,1.018109666169039,4.999922752380371,0.16917650078303245,0.8308234992169675,GIANTX,5,5
70716,Movistar KOI,GIANTX,4.998408913612366,1.1424894443286189,0.8139540214256713,0.18604597857432872,Movistar KOI,5,5
70717,GIANTX,Movistar KOI,4.054792203009129,2.996603989875439,0.5750339496028806,0.4249660503971194,Movistar KOI,5,5
70718,Fnatic,Team BDS,4.996873736381531,0.08230468936573987,0.9837956688135776,0.016204331186422307,Fnatic,5,5
70719,Fnatic,Team BDS,4.0261880829930305,0.09556461135787897,0.976814569324148,0.02318543067585194,Fnatic,5,5
70721,Karmine Corp,Movistar KOI,4.246426671743393,0.7274633813747187,0.8537435742234241,0.146256425776576,Karmine Corp,5,5
70722,Movistar KOI,Karmine Corp,4.9099913239479065,1.0033569221638814,0.8303233835714614,0.16967661642853862,Movistar KOI,5,5
70723,Karmine Corp,Movistar KOI,4.979457378387451,1.287225556319754,0.7945921997759575,0.2054078002240425,Karmine Corp,5,5
70938,T1,KT Rolster,4.999995708465576,0.6432017626283689,0.8860217516889972,0.11397824831100284,T1,5,5
70939,KT Rolster,T1,1.3209079154223855,4.999972939491272,0.20897529090356964,0.7910247090964304,T1,5,5
70944,Gen.G eSports,Nongshim RedForce,4.993908047676086,0.5402459318297481,0.9023796710697977,0.0976203289302024,Gen.G eSports,5,5
70945,Nongshim RedForce,Gen.G eSports,0.0033274632720479147,5.0,0.0006650500684741988,0.9993349499315258,Gen.G eSports,5,5
70953,Hanwha Life eSports,T1,2.0037324586840053,4.753541529178619,0.2965297044759614,0.7034702955240385,T1,5,5
70954,Hanwha Life eSports,T1,1.983512595295906,4.8304412961006165,0.2910956878942696,0.7089043121057303,T1,5,5
70956,Nongshim RedForce,KT Rolster,0.010579257990258384,4.99999737739563,0.0021113853274980646,0.9978886146725019,KT Rolster,5,5
70957,Nongshim RedForce,KT Rolster,3.910603813827038,1.0113695585332607,0.7945194981726881,0.20548050182731187,Nongshim RedForce,5,5
70958,KT Rolster,Nongshim RedForce,4.999999165534973,0.08825559446647802,0.9826550362296614,0.017344963770338583,KT Rolster,5,5
70962,Hanwha Life eSports,Gen.G eSports,1.015114077770157,4.866701304912567,0.17258516490654602,0.8274148350934539,Gen.G eSports,5,5
70963,Hanwha Life eSports,Gen.G eSports,4.9999977350234985,1.2476262946686956,0.8003038773237188,0.19969612267628137,Hanwha Life eSports,5,5
70964,Gen.G eSports,Hanwha Life eSports,4.999668002128601,1.008609751051237,0.8321299726003117,0.1678700273996883,Gen.G eSports,5,5
70971,PSG Talon,MGN Vikings Esports,1.3843412544038143,4.999959945678711,0.216835204201506,0.783164795798494,MGN Vikings Esports,5,5
70972,MGN Vikings Esports,PSG Talon,4.997095942497253,1.015487765916987,0.8311062572823935,0.1688937427176065,MGN Vikings Esports,5,5
70986,JD Gaming,Top Esports,0.04494083305121291,4.999483406543732,0.008909011398855214,0.9910909886011448,Top Esports,5,5
70987,JD Gaming,Top Esports,4.959116995334625,1.4483456022321244,0.7739595697707018,0.22604043022929815,JD Gaming,5,5
70988,Top Esports,JD Gaming,4.121323794126511,1.267610499493458,0.7647752912864054,0.23522470871359466,Top Esports,5,5
70989,Bilibili Gaming,Anyone s Legend,5.0,0.875533838768412,0.8509865039000549,0.14901349609994505,Bilibili Gaming,5,5
70990,Anyone s Legend,Bilibili Gaming,3.985252142418176,1.1707315632266102,0.772937303516904,0.2270626964830959,Anyone s Legend,5,5
70991,Bilibili Gaming,Anyone s Legend,4.005746766924858,2.1231743104290217,0.6535810653078783,0.34641893469212165,Anyone s Legend,5,5
70998,Anyone s Legend,Invictus Gaming,4.969435214996338,1.093718597049028,0.8196122627012709,0.1803877372987292,Anyone s Legend,5,5
70999,Invictus Gaming,Anyone s Legend,0.999119936778703,4.995855748653412,0.16665954779542813,0.8333404522045719,Anyone s Legend,5,5
71001,Bilibili Gaming,Weibo Gaming,0.07435819453712611,4.999485492706299,0.014655200104819206,0.9853447998951808,Weibo Gaming,5,5
71002,Bilibili Gaming,Weibo Gaming,2.184746464394266,2.6635363570894697,0.45062273486051724,0.5493772651394827,Bilibili Gaming,5,5
