Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Win,Game_ID,Blue_Team,Red_Team,Winning_Team
Poby,MID,17,4,0,4,Perfect KDA,305,4,,9.9,13289,433,22.8%,42,11,10,6,6,1.37,0.36,0.2,0.33,14.3%,18925,1184,16769,972,617,25.4%,0.26,66.7%,,2,0,0,0,921,0,612,0,0,2330,2330,2745,0,5454,0,6,309,9823,0,21,52,0,0,1,72494,Fnatic,Karmine Corp,Fnatic
Upset,ADC,16,2,0,4,Perfect KDA,315,31,,10.3,12765,416,21.9%,43,15,7,3,3,1.4,0.49,0.1,0.23,14.6%,17450,11046,6127,277,569,23.4%,0.2,50%,,0,0,0,0,395,2,426,0,0,4046,4046,6781,0,7251,0,8,300,13677,0,4,20,0,0,1,72494,Fnatic,Karmine Corp,Fnatic
Mikyx,SUPPORT,12,0,1,7,7,39,0,,1.3,7355,240,12.6%,131,51,23,11,11,4.27,1.66,0.36,0.75,44.6%,5477,1390,3104,983,179,7.3%,0.23,58.3%,,0,0,0,0,589,1,-287,0,0,389,389,3149,1461,6461,1047,25,166,9195,29,13,26,0,31,1,72494,Fnatic,Karmine Corp,Fnatic
Canna,TOP,15,1,4,1,0.5,246,3,,8,10539,343,20.5%,27,14,3,9,8,0.88,0.46,0.29,0.1,10.5%,10715,8850,1777,88,349,22.2%,0.07,66.7%,,0,0,0,0,-2371,-44,-1432,-1,0,0,0,7375,0,21755,0,15,184,26207,42,11,34,31,0,0,72494,Fnatic,Karmine Corp,Fnatic
Yike,JUNGLE,13,0,3,2,0.7,157,147,,5.1,9285,303,18.1%,40,10,10,7,7,1.3,0.33,0.23,0.33,15.6%,3946,460,2073,1413,129,8.2%,0.07,66.7%,,0,0,0,0,-570,-37,-1220,-2,0,0,0,7776,2952,8250,4783,30,196,11379,66,7,23,0,0,0,72494,Fnatic,Karmine Corp,Fnatic
Vladi,MID,17,1,2,1,1,295,4,,9.6,12230,399,23.8%,40,14,7,4,3,1.3,0.46,0.13,0.23,15.6%,12117,278,11839,0,395,25.1%,0.07,66.7%,,0,0,0,0,-921,0,-612,0,0,2173,2173,3743,0,16081,0,12,70,18380,41,6,23,324,0,0,72494,Fnatic,Karmine Corp,Fnatic
Caliste,ADC,16,1,1,1,2,314,8,,10.2,12710,414,24.8%,40,16,8,6,6,1.3,0.52,0.2,0.26,15.6%,16268,15933,63,272,530,33.7%,0.07,66.7%,,0,0,0,0,-395,-2,-426,0,0,3785,3785,4031,0,7165,0,12,60,14924,25,9,25,431,0,0,72494,Fnatic,Karmine Corp,Fnatic
Targamas,SUPPORT,10,0,2,3,1.5,32,0,,1,6555,214,12.8%,110,53,15,13,11,3.59,1.73,0.42,0.49,42.8%,5284,1058,3299,927,172,10.9%,0.1,100%,,0,0,0,0,-589,-1,287,0,0,0,0,10012,4175,16516,1076,21,67,18388,20,16,29,0,0,0,72494,Fnatic,Karmine Corp,Fnatic
Flandre,TOP,14,1,5,5,1.2,223,0,,7.8,9480,330,19.5%,27.47,9,4,6,,0.96,0.31,0.21,0.14,11.1%,17173.51,8562.27,8532.36,78.88,598,25.6%,0.21,75%,,,,,,69,,,,,,,,,,,,,34153.3,,,,,,0,72496,Anyone s Legend,Top Esports,Top Esports
Tarzan,JUNGLE,14,4,5,3,1.4,198,183,,6.9,11031,384,22.7%,37,10,8,9,,1.29,0.35,0.31,0.28,15%,11006.27,10666.3,0,339.97,383,16.4%,0.24,87.5%,,,,,,-831,,,,,,,,,,,,,33990.7,,,,,,0,72496,Anyone s Legend,Top Esports,Top Esports
