Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Win,Game_ID,Blue_Team,Red_Team,Winning_Team
Leks,TOP,15,2,5,2,0.8,240,0,,8.3,10124,351,20.9%,26,10,6,6,5,0.9,0.35,0.21,0.21,12.9%,10365,8933,1432,0,359,17.6%,0.14,36.4%,,0,0,0,0,1147,32,1088,0,0,1223,1223,7275,0,25710,0,12,34,36190,173,8,26,0,7,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Stalken,JUNGLE,14,5,4,5,2.5,183,158,,6.3,10764,373,22.2%,38,8,7,7,5,1.32,0.28,0.24,0.24,18.8%,11542,9778,1179,585,400,19.6%,0.35,90.9%,,2,0,0,0,1614,-2,750,1,0,0,0,12483,0,27953,0,15,213,31915,146,9,28,0,380,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
FireAscept,MID,14,2,7,6,1.1,220,0,,7.6,10362,359,21.4%,22,13,2,5,4,0.76,0.45,0.17,0.07,10.9%,18100,1178,16922,0,628,30.7%,0.28,72.7%,,0,0,0,0,777,-3,-665,-1,0,1331,1331,1272,0,13621,790,34,439,21949,212,7,25,0,223,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Mako,ADC,13,2,6,2,0.7,259,12,,9,11075,384,22.9%,20,7,7,2,1,0.69,0.24,0.07,0.24,9.9%,15672,9596,5806,270,544,26.6%,0.14,36.4%,,0,0,0,0,-709,-3,-239,0,0,200,200,5115,0,11353,0,10,139,19844,191,4,20,0,116,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Varin,SUPPORT,12,0,6,6,1,32,0,,1.1,6060,210,12.5%,96,46,7,13,11,3.33,1.6,0.45,0.24,47.5%,3308,458,2850,0,115,5.6%,0.21,54.5%,,0,0,0,0,9,-3,192,0,0,0,0,1755,616,24234,1334,26,65,17866,157,15,29,0,0,0,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Zest,TOP,17,6,4,11,4.3,215,12,,7.5,12511,434,19.8%,26,11,7,2,2,0.9,0.38,0.07,0.24,13.1%,31261,22866,858,7537,1084,30.5%,0.59,60.7%,,0,0,0,0,-1147,-32,-1088,0,0,5686,5686,8883,0,11485,0,15,70,19528,74,3,23,7,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Peach,JUNGLE,17,4,2,23,13.5,191,172,,6.6,13434,466,21.2%,38,9,9,5,5,1.32,0.31,0.17,0.31,19.1%,17864,14299,2188,1377,620,17.4%,0.94,96.4%,1,1,0,0,0,-1614,2,-750,-1,0,3182,3182,19535,0,37644,0,27,582,31796,45,5,24,188,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Kofte,MID,18,4,1,17,21,245,0,,8.5,12329,428,19.5%,31,12,4,4,4,1.08,0.42,0.14,0.14,15.6%,15198,119,14963,116,527,14.8%,0.73,75%,,0,0,0,0,-777,3,665,1,0,7344,7344,3280,0,25944,2602,29,100,15872,25,6,27,60,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Scorth,ADC,17,13,1,10,23,291,20,,10.1,16774,582,26.5%,22,10,5,2,2,0.76,0.35,0.07,0.17,11.1%,32062,15394,16270,398,1112,31.3%,0.8,82.1%,,3,2,0,0,709,3,239,0,0,8910,8910,2446,0,8281,0,4,118,10542,28,5,27,471,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
monkaS,SUPPORT,13,1,3,14,5,42,0,,1.5,8224,285,13%,82,36,12,9,7,2.84,1.25,0.31,0.42,41.2%,6148,1533,4615,0,213,6%,0.52,53.6%,,0,0,0,0,-9,3,-192,0,0,1986,1986,3058,946,17087,928,54,278,12082,64,12,28,0,0,1,71649,BoostGate Esports,Bushido Wildcats,Bushido Wildcats
Vertigo,TOP,18,5,1,8,13,313,16,,9.5,15568,470,23.3%,26,11,4,2,2,0.79,0.33,0.06,0.12,9.1%,18987,18181,806,0,574,25.3%,0.39,76.5%,1,0,0,0,0,1047,-7,140,0,0,8409,8409,8917,0,28045,0,8,273,23660,38,5,28,0,184,1,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
chef,JUNGLE,16,1,1,7,8,227,208,,6.9,12255,370,18.3%,49,8,12,6,6,1.48,0.24,0.18,0.36,17.1%,6748,5829,570,349,204,9%,0.24,47.1%,,0,0,0,0,656,0,506,0,0,7344,7344,17556,0,26551,0,8,272,31946,0,7,28,0,322,1,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Ivory,MID,18,6,0,8,Perfect KDA,316,12,,9.5,15855,479,23.7%,38,9,6,3,3,1.15,0.27,0.09,0.18,13.3%,22705,1397,21308,0,686,30.2%,0.42,82.4%,1,0,0,0,0,191,-13,-253,-1,0,2920,2920,5613,0,10541,0,38,857,17083,0,6,26,0,0,1,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Ruep,ADC,17,5,1,8,13,304,9,,9.2,14707,444,22%,28,10,7,2,1,0.85,0.3,0.06,0.21,9.8%,22830,15761,6427,642,690,30.4%,0.39,76.5%,,0,1,0,0,-293,-21,-119,0,0,6036,6036,3713,0,6454,0,3,104,14611,53,5,30,0,700,1,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Patch,SUPPORT,13,0,2,13,6.5,34,0,,1,8462,256,12.7%,145,69,17,22,20,4.38,2.08,0.66,0.51,50.7%,3871,530,3081,260,117,5.2%,0.39,76.5%,,0,0,0,0,80,3,-242,0,0,970,970,4881,1296,14800,254,24,71,16012,51,25,39,0,0,1,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Armut,TOP,17,0,4,1,0.3,308,0,,9.3,13209,399,22.7%,28,11,4,7,5,0.85,0.33,0.21,0.12,10.1%,14208,1959,10716,1533,429,21.5%,0.03,20%,,0,0,0,0,-1047,7,-140,0,0,7588,7588,4729,0,20939,0,5,150,24109,107,10,31,0,0,0,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Kaboom,JUNGLE,15,1,4,3,1,206,192,,6.2,10583,320,18.2%,37,10,9,1,1,1.12,0.3,0.03,0.27,13.3%,13098,9390,97,3611,396,19.8%,0.12,80%,,0,0,0,0,-656,0,-506,0,0,3065,3065,22989,0,32495,0,14,645,33535,119,1,23,0,0,0,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Mask,MID,17,2,3,0,0.7,306,0,,9.2,12770,386,21.9%,42,14,10,3,3,1.27,0.42,0.09,0.3,15.1%,18170,268,17515,387,549,27.5%,0.06,40%,,0,0,0,0,-191,13,253,1,0,325,325,2070,0,12426,0,14,437,18194,87,5,21,506,0,0,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
BAO,ADC,15,2,3,1,1,336,16,,10.2,14261,431,24.5%,50,17,15,5,5,1.51,0.51,0.15,0.45,18%,15965,10869,3368,1728,482,24.1%,0.09,60%,,0,0,0,0,293,21,119,0,0,4482,4482,878,0,7324,0,2,58,10693,119,6,28,700,0,0,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Carry,SUPPORT,12,0,3,3,1,30,0,,0.9,7413,224,12.7%,121,66,13,16,14,3.66,1.99,0.48,0.39,43.5%,4680,499,3726,455,141,7.1%,0.09,60%,,0,0,0,0,-80,-3,242,0,0,271,271,4985,2519,11770,0,30,137,15631,93,19,33,0,0,0,71650,Besiktas Esports,Papara SuperMassive,Besiktas Esports
Mihile,TOP,16,5,4,4,2.3,217,15,,7.3,11389,384,18.5%,20,8,3,4,2,0.67,0.27,0.13,0.1,7.9%,14437,13818,515,104,486,16.3%,0.3,36%,1,1,0,0,0,-124,-23,-636,0,0,2139,2139,5767,0,28282,0,9,234,22623,122,5,24,0,315,1,71651,Misa Esports,BBL Dark Passage,Misa Esports
Closer,JUNGLE,16,11,0,11,Perfect KDA,196,176,,6.6,13773,464,22.3%,51,10,10,8,8,1.72,0.34,0.27,0.34,20.2%,16502,14507,1461,534,556,18.6%,0.74,88%,1,2,1,0,0,1378,20,1023,1,0,11444,11444,25984,0,33335,0,20,413,35272,0,9,28,0,0,1,71651,Misa Esports,BBL Dark Passage,Misa Esports
Callme,MID,16,2,4,12,3.5,249,4,,8.4,12034,405,19.5%,44,11,15,6,6,1.48,0.37,0.2,0.51,17.5%,23797,476,23321,0,802,26.9%,0.47,56%,,0,0,0,0,1283,-4,260,1,0,3662,3662,1491,0,9799,0,11,128,16838,166,9,27,0,272,1,71651,Misa Esports,BBL Dark Passage,Misa Esports
ToongE,ADC,17,6,2,12,9,308,12,,10.4,16293,549,26.4%,34,14,7,3,3,1.15,0.47,0.1,0.24,13.5%,27675,19333,8280,62,932,31.3%,0.61,72%,,1,0,0,0,2500,26,1398,1,0,10171,10171,6786,0,9888,0,7,169,18215,80,4,20,0,470,1,71651,Misa Esports,BBL Dark Passage,Misa Esports
Batuuu,SUPPORT,13,1,3,19,6.7,25,2,,0.8,8206,276,13.3%,103,59,6,13,13,3.47,1.99,0.44,0.2,40.9%,6081,580,4625,876,205,6.9%,0.67,80%,,0,0,0,0,981,1,504,1,0,879,879,16829,9364,19160,1141,48,131,21858,83,15,29,0,155,1,71651,Misa Esports,BBL Dark Passage,Misa Esports
NuQ,TOP,15,2,4,6,2,220,0,,7.4,11148,376,20.8%,31,10,6,4,4,1.04,0.34,0.13,0.2,15.3%,11812,9798,0,2014,398,16.8%,0.27,61.5%,1,0,0,0,0,124,23,636,0,0,2841,2841,6601,0,15949,0,15,118,24452,120,5,27,0,0,0,71651,Misa Esports,BBL Dark Passage,Misa Esports
Kireas,JUNGLE,14,3,5,5,1.6,153,137,,5.2,10000,337,18.7%,36,4,13,4,3,1.21,0.13,0.13,0.44,17.7%,10205,7929,1487,789,344,14.5%,0.27,61.5%,,0,0,0,0,-1378,-20,-1023,-1,0,479,479,13872,0,26023,0,13,134,35029,102,5,20,155,0,0,71651,Misa Esports,BBL Dark Passage,Misa Esports
Ksaez,MID,17,5,4,4,2.3,252,12,,8.5,12513,422,23.3%,36,15,7,8,6,1.21,0.51,0.27,0.24,17.7%,17590,649,16703,238,593,25.1%,0.3,69.2%,,0,0,0,0,-1283,4,-260,-1,0,58,58,4249,0,11925,0,11,45,21222,144,12,30,470,0,0,71651,Misa Esports,BBL Dark Passage,Misa Esports
Neramin,ADC,15,3,5,5,1.6,273,9,,9.2,12860,433,24%,20,6,6,1,0,0.67,0.2,0.03,0.2,9.9%,23536,22003,1464,69,793,33.5%,0.27,61.5%,,0,0,0,0,-2500,-26,-1398,-1,0,1389,1389,3958,0,11287,0,24,161,15857,151,2,19,587,0,0,71651,Misa Esports,BBL Dark Passage,Misa Esports
Joexy,SUPPORT,11,0,7,10,1.4,22,0,,0.7,7091,239,13.2%,80,46,6,13,11,2.7,1.55,0.44,0.2,39.4%,7059,1503,4976,580,238,10.1%,0.34,76.9%,,0,0,0,0,-981,-1,-504,-1,0,0,0,2552,576,27128,0,40,102,20678,151,16,31,0,0,0,71651,Misa Esports,BBL Dark Passage,Misa Esports
Tayron,TOP,15,1,3,3,1.3,223,0,,7.9,10142,361,20.9%,27,11,6,2,2,0.96,0.39,0.07,0.21,14.1%,14167,396,13771,0,504,29.4%,0.14,36.4%,,0,0,0,0,131,3,57,0,0,2414,2414,1147,0,13939,0,9,282,15776,80,4,20,0,0,0,71652,The Forbidden Five,ULF Esports,ULF Esports
Kurama Cat,JUNGLE,13,3,6,2,0.8,149,131,,5.3,9727,346,20%,36,10,5,8,6,1.28,0.36,0.28,0.18,18.8%,4906,4252,418,236,174,10.2%,0.18,45.5%,1,0,0,0,0,-383,-13,-1234,-1,0,2797,2797,12211,0,23575,0,8,81,32261,145,9,24,418,0,0,71652,The Forbidden Five,ULF Esports,ULF Esports
helforca,MID,13,0,7,4,0.6,195,0,,6.9,8894,316,18.3%,27,11,7,1,1,0.96,0.39,0.04,0.25,14.1%,12558,495,12009,54,447,26.1%,0.14,36.4%,,0,0,0,0,-1760,-17,-1771,-1,0,837,837,1533,0,12729,1733,25,326,21905,223,4,19,0,0,0,71652,The Forbidden Five,ULF Esports,ULF Esports
Kakarot1,ADC,13,7,4,2,2.3,226,10,,8,12337,439,25.4%,22,11,6,1,1,0.78,0.39,0.04,0.21,11.5%,11733,11634,0,99,417,24.4%,0.32,81.8%,,1,0,0,0,260,-19,-1027,-1,0,1335,1335,4512,0,6886,0,13,50,16667,80,2,20,286,0,0,71652,The Forbidden Five,ULF Esports,ULF Esports
hidududu,SUPPORT,11,0,6,9,1.5,27,0,,1,7484,266,15.4%,79,35,7,12,10,2.81,1.24,0.43,0.25,41.4%,4754,900,2329,1525,169,9.9%,0.32,81.8%,,0,0,0,0,246,-7,964,1,0,111,111,7161,2196,20179,2034,20,60,22730,138,15,30,0,0,0,71652,The Forbidden Five,ULF Esports,ULF Esports
Chasy,TOP,17,5,1,10,15,225,0,,8,12626,449,21.1%,28,13,5,4,4,1,0.46,0.14,0.18,12.7%,18759,1171,16699,889,667,21.5%,0.53,57.7%,,1,0,0,0,-131,-3,-57,0,0,6648,6648,3428,0,6502,0,9,226,12734,41,6,23,0,418,1,71652,The Forbidden Five,ULF Esports,ULF Esports
Typhoon,JUNGLE,16,6,2,10,8,192,180,,6.8,11500,409,19.2%,42,7,10,6,5,1.49,0.25,0.21,0.36,19.1%,17973,16381,1284,308,639,20.6%,0.57,61.5%,,1,0,0,0,383,13,1234,1,0,1363,1363,21283,0,22630,0,14,189,34573,28,7,24,0,0,1,71652,The Forbidden Five,ULF Esports,ULF Esports
Gori,MID,17,7,1,15,22,244,20,,8.7,13951,496,23.3%,27,11,7,3,3,0.96,0.39,0.11,0.25,12.3%,26225,816,25355,54,933,30.1%,0.78,84.6%,1,0,0,0,0,1760,17,1771,1,0,3327,3327,2803,0,7689,0,46,736,14958,20,5,26,0,0,1,71652,The Forbidden Five,ULF Esports,ULF Esports
Kaori,ADC,17,8,3,10,6,285,6,,10.1,14400,512,24%,19,10,3,1,1,0.68,0.36,0.04,0.11,8.6%,17602,16593,169,840,626,20.2%,0.64,69.2%,1,1,0,0,0,-260,19,1027,1,0,8071,8071,4820,0,10194,0,21,184,14890,78,2,18,0,286,1,71652,The Forbidden Five,ULF Esports,ULF Esports
Farfetch,SUPPORT,12,0,4,16,4,29,0,,1,7452,265,12.4%,104,40,12,6,5,3.7,1.42,0.21,0.43,47.3%,6674,1680,4017,977,237,7.7%,0.57,61.5%,,0,0,0,0,-246,7,-964,-1,0,954,954,623,0,19044,1063,43,156,10643,82,8,22,0,0,1,71652,The Forbidden Five,ULF Esports,ULF Esports
Mihile,TOP,17,5,3,7,4,257,16,,8.6,13199,441,21.4%,28,14,6,6,4,0.94,0.47,0.2,0.2,11.3%,19646,18890,756,0,657,18.6%,0.4,50%,,1,0,0,0,1524,14,888,1,0,3415,3415,6342,0,28496,0,11,223,25004,104,7,25,0,351,1,71653,Misa Esports,ULF Esports,Misa Esports
Closer,JUNGLE,15,3,2,14,8.5,177,157,,5.9,11017,368,17.9%,50,11,13,9,9,1.67,0.37,0.3,0.43,20.2%,13105,7953,4935,217,438,12.4%,0.57,70.8%,,0,0,0,0,-420,-12,-251,0,0,1098,1098,19430,0,52466,0,36,611,40199,59,10,27,199,225,1,71653,Misa Esports,ULF Esports,Misa Esports
Callme,MID,16,3,3,11,4.7,223,4,,7.5,12131,406,19.7%,30,9,6,5,5,1,0.3,0.17,0.2,12.1%,27360,1637,25639,84,915,25.9%,0.47,58.3%,1,1,0,0,0,-413,-20,-541,-1,0,5805,5805,4848,0,17756,0,10,184,23040,95,7,23,0,0,1,71653,Misa Esports,ULF Esports,Misa Esports
ToongE,ADC,17,12,1,7,19,300,4,,10,16864,564,27.4%,28,12,6,2,2,0.94,0.4,0.07,0.2,11.3%,33510,31588,1273,649,1121,31.7%,0.64,79.2%,1,1,2,0,0,712,5,995,1,0,10933,10933,6991,0,7985,0,32,139,15596,28,3,22,198,0,1,71653,Misa Esports,ULF Esports,Misa Esports
Batuuu,SUPPORT,13,1,3,18,6.3,20,0,,0.7,8352,279,13.6%,112,59,12,16,15,3.75,1.97,0.54,0.4,45.2%,12034,3812,7247,975,402,11.4%,0.64,79.2%,,0,0,0,0,-328,-4,466,1,0,1025,1025,11794,5923,9123,0,70,227,18771,89,18,32,0,0,1,71653,Misa Esports,ULF Esports,Misa Esports
Chasy,TOP,14,1,5,3,0.8,223,4,,7.5,10066,337,20.1%,35,13,6,9,8,1.17,0.43,0.3,0.2,15.8%,19382,562,18820,0,648,22.1%,0.13,33.3%,,0,0,0,0,-1524,-14,-888,-1,0,382,382,2251,0,21024,0,10,335,22330,131,13,29,351,0,0,71653,Misa Esports,ULF Esports,Misa Esports
Typhoon,JUNGLE,13,5,6,5,1.7,147,139,,4.9,9745,326,19.4%,40,8,5,8,6,1.34,0.27,0.27,0.17,18.1%,15534,8332,6260,942,520,17.7%,0.33,83.3%,,0,0,0,0,420,12,251,0,0,0,0,17101,304,50893,0,28,353,47828,187,9,23,0,199,0,71653,Misa Esports,ULF Esports,Misa Esports
Gori,MID,16,3,2,5,4,266,16,,8.9,12214,408,24.4%,31,12,5,8,7,1.04,0.4,0.27,0.17,14%,27769,19674,4157,3938,929,31.7%,0.27,66.7%,,0,0,0,0,413,20,541,1,0,2475,2475,11672,0,27481,0,25,187,28571,41,9,25,225,0,0,71653,Misa Esports,ULF Esports,Misa Esports
Kaori,ADC,15,2,3,3,1.7,285,16,,9.5,11241,376,22.4%,25,9,8,2,1,0.84,0.3,0.07,0.27,11.3%,14889,11054,2188,1647,498,17%,0.17,41.7%,,0,0,0,0,-712,-5,-995,-1,0,738,738,2758,0,9180,0,0,63,12746,41,3,19,0,108,0,71653,Misa Esports,ULF Esports,Misa Esports
Farfetch,SUPPORT,10,1,8,7,1,22,0,,0.7,6883,230,13.7%,90,47,9,13,12,3.01,1.57,0.43,0.3,40.7%,10023,917,9106,0,335,11.4%,0.27,66.7%,,0,0,0,0,328,4,-466,-1,0,834,834,3544,842,7865,0,26,35,23037,201,15,28,0,90,0,71653,Misa Esports,ULF Esports,Misa Esports
Armut,TOP,12,3,1,3,6,164,6,,8.8,9202,496,21.5%,13,8,2,1,1,0.7,0.43,0.05,0.11,11.6%,11161,7639,3470,52,602,13.2%,0.32,25%,,1,0,0,0,1249,-13,-478,0,0,10930,10930,3356,0,7901,0,3,105,10794,32,2,15,0,333,1,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
Kaboom,JUNGLE,12,10,1,9,19,132,126,,7.1,9562,515,22.3%,23,6,2,3,3,1.24,0.32,0.16,0.11,20.5%,13812,12489,688,635,745,16.3%,1.02,79.2%,,0,0,1,0,2223,18,1503,1,0,3266,3266,13838,0,12490,0,15,214,21699,32,4,18,0,700,1,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
Mask,MID,12,6,0,13,Perfect KDA,168,0,,9.1,10130,546,23.6%,10,7,1,2,2,0.54,0.38,0.11,0.05,8.9%,33592,2327,30941,324,1811,39.7%,1.02,79.2%,,1,0,0,0,2938,59,2062,2,0,5512,5512,1833,0,3463,0,45,603,7833,0,4,20,0,0,1,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
BAO,ADC,12,5,0,7,Perfect KDA,172,4,,9.3,8402,453,19.6%,15,8,3,1,1,0.81,0.43,0.05,0.16,13.4%,20281,13793,6488,0,1093,23.9%,0.65,50%,,1,0,0,0,1736,45,1906,2,0,2121,2121,2912,0,3034,0,4,71,5752,0,2,12,0,0,1,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
Carry,SUPPORT,10,0,2,15,7.5,28,0,,1.5,5573,300,13%,51,20,9,5,5,2.75,1.08,0.27,0.49,45.5%,5862,841,3216,1805,316,6.9%,0.81,62.5%,,0,0,0,0,979,12,1362,1,0,812,812,5105,2776,5194,922,18,52,7295,16,7,17,0,109,1,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
Tayron,TOP,11,0,3,2,0.7,135,0,,7.3,5742,310,20.9%,4,3,0,0,0,0.22,0.16,0,0,6%,5412,4502,910,0,292,19.4%,0.11,50%,,0,0,0,0,-1249,13,478,0,0,224,224,2791,0,11935,0,10,17,22089,96,1,13,0,0,0,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
Kurama Cat,JUNGLE,9,3,4,1,1,96,88,,5.2,7031,379,25.6%,13,5,3,1,1,0.7,0.27,0.05,0.16,19.4%,7331,5546,1277,508,395,26.3%,0.22,100%,,0,0,0,0,-2223,-18,-1503,-1,0,0,0,12722,0,17289,0,21,327,28437,91,2,14,1033,0,0,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
helforca,MID,11,0,4,2,0.5,121,0,,6.5,5363,289,19.6%,13,6,3,0,0,0.7,0.32,0,0.16,19.4%,8120,845,5479,1796,438,29.1%,0.11,50%,,0,0,0,0,-2938,-59,-2062,-2,0,0,0,4084,0,5745,0,12,44,15927,49,2,13,0,0,0,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
Kakarot1,ADC,10,1,4,2,0.8,114,0,,6.1,5589,301,20.4%,9,7,1,0,0,0.49,0.38,0,0.05,13.4%,5239,3466,1773,0,282,18.8%,0.16,75%,,0,0,0,0,-1736,-45,-1906,-2,0,0,0,1260,0,5087,0,0,0,12079,89,1,13,109,0,0,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
hidududu,SUPPORT,7,0,9,2,0.2,13,0,,0.7,3702,200,13.5%,28,19,1,6,4,1.51,1.02,0.32,0.05,41.8%,1795,315,1445,35,97,6.4%,0.11,50%,,0,0,0,0,-979,-12,-1362,-1,0,58,58,3035,1595,14938,258,19,43,20387,123,8,17,0,0,0,71654,Papara SuperMassive,The Forbidden Five,Papara SuperMassive
Vertigo,TOP,18,5,4,1,1.5,371,13,,9.2,18204,450,25.1%,31,16,3,1,1,0.77,0.4,0.02,0.07,8.9%,39320,37481,1236,603,972,34.4%,0.15,42.9%,2,0,0,0,0,-1230,-28,-1035,0,0,4035,4035,11402,0,67407,0,17,403,43927,194,5,28,851,286,0,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
chef,JUNGLE,16,1,7,7,1.1,236,216,,5.8,12690,314,17.5%,59,12,12,11,10,1.46,0.3,0.27,0.3,17%,16077,13410,1184,1483,397,14.1%,0.2,57.1%,,0,0,0,0,406,10,462,0,0,2371,2371,15045,0,22187,0,29,291,40563,303,12,34,0,268,0,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
Ivory,MID,18,3,5,4,1.4,317,4,,7.8,14543,360,20.1%,46,9,9,5,5,1.14,0.22,0.12,0.22,13.3%,25097,883,24182,32,620,22%,0.17,50%,,1,0,0,0,-663,-10,-781,-1,0,2794,2794,17995,0,36079,0,58,753,45261,179,10,30,0,423,0,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
Ruep,ADC,18,5,3,3,2.7,421,25,,10.4,18370,454,25.4%,59,17,19,5,4,1.46,0.42,0.12,0.47,17%,28873,19728,8453,692,714,25.3%,0.2,57.1%,,1,0,0,0,915,17,722,0,0,2804,2804,8624,0,12521,0,17,290,22127,165,8,33,279,0,0,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
Patch,SUPPORT,14,0,4,9,2.3,27,0,,0.7,8609,213,11.9%,152,96,10,25,23,3.76,2.37,0.62,0.25,43.8%,4794,612,2813,1369,119,4.2%,0.22,64.3%,,0,0,0,0,70,0,-141,0,0,0,0,13922,4544,31200,0,37,115,29876,93,28,45,0,9,0,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
Zest,TOP,18,4,4,8,3,378,20,,9.3,17747,439,21.2%,49,13,13,8,7,1.21,0.32,0.2,0.32,13.5%,25705,20731,4238,736,635,18.8%,0.3,52.2%,1,1,0,0,0,1230,28,1035,0,0,1289,1289,16892,0,51462,0,40,291,52006,129,9,35,268,452,1,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
Peach,JUNGLE,18,3,3,8,3.7,303,257,,7.5,17211,425,20.5%,86,21,21,18,17,2.13,0.52,0.44,0.52,23.8%,23022,19858,1958,1206,569,16.8%,0.27,47.8%,,0,0,0,0,-406,-10,-462,0,0,3774,3774,26564,0,53105,0,16,214,52772,115,18,41,423,279,1,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
Kofte,MID,18,6,3,8,4.7,309,4,,7.6,17224,426,20.5%,35,11,8,6,6,0.87,0.27,0.15,0.2,9.7%,37592,1235,34769,1588,929,27.5%,0.35,60.9%,3,1,0,0,0,663,10,781,1,0,7983,7983,2165,0,15997,5261,39,421,17587,136,8,29,0,399,1,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
Scorth,ADC,18,9,3,6,5,409,16,,10.1,20563,508,24.5%,24,10,9,0,0,0.59,0.25,0,0.22,6.6%,43200,17795,24052,1353,1068,31.6%,0.37,65.2%,1,1,0,0,0,-915,-17,-722,0,0,6985,6985,4547,0,22294,0,2,168,21816,74,3,26,295,0,1,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
monkaS,SUPPORT,16,1,1,14,15,44,0,,1.1,11117,275,13.3%,168,63,26,14,14,4.15,1.56,0.35,0.64,46.4%,7128,1246,4409,1473,176,5.2%,0.37,65.2%,,0,0,0,0,-70,0,141,0,0,508,508,15066,7068,22279,4081,22,67,17956,10,17,33,0,0,1,71655,Besiktas Esports,Bushido Wildcats,Bushido Wildcats
Leks,TOP,18,6,3,6,4,275,8,,9,15425,504,23.7%,22,8,5,3,2,0.72,0.26,0.1,0.16,9.7%,31805,4634,20640,6531,1040,32.9%,0.39,46.2%,2,0,0,0,0,1168,37,1040,1,0,16161,16161,9068,0,22912,0,10,128,32757,48,6,30,0,714,1,71656,BoostGate Esports,BBL Dark Passage,BoostGate Esports
Stalken,JUNGLE,17,11,0,6,Perfect KDA,245,207,,8,15906,520,24.4%,43,6,12,5,5,1.41,0.2,0.16,0.39,19%,19466,724,17771,971,636,20.1%,0.56,65.4%,,0,0,0,0,577,12,514,0,0,5560,5560,35222,10343,22218,0,2,184,32572,0,6,25,0,0,1,71656,BoostGate Esports,BBL Dark Passage,BoostGate Esports
FireAscept,MID,17,4,5,6,2,237,8,,7.7,12158,398,18.7%,42,16,7,15,8,1.37,0.52,0.49,0.23,18.6%,17897,15258,1718,921,585,18.5%,0.33,38.5%,1,0,0,0,0,96,0,-161,0,0,730,730,12016,0,18840,0,13,103,36067,154,11,34,0,232,1,71656,BoostGate Esports,BBL Dark Passage,BoostGate Esports
Mako,ADC,16,4,2,7,5.5,282,0,,9.2,13152,430,20.2%,20,7,7,0,0,0.65,0.23,0,0.23,8.8%,22404,14215,7063,1126,733,23.1%,0.36,42.3%,1,0,0,0,0,-427,-10,-413,-1,0,4704,4704,2682,0,8152,0,4,127,16000,72,1,20,0,371,1,71656,BoostGate Esports,BBL Dark Passage,BoostGate Esports
