Team,Championships,Win_Rate,Region
Gen.G eSports,54,0.54,LCK
Hanwha Life eSports,17,0.17,LCK
T1,11,0.11,LCK
Top Esports,6,0.06,LPL
Bilibili Gaming,5,0.05,LPL
Anyone s Legend,4,0.04,LPL
FlyQuest,2,0.02,LTA
Invictus Gaming,1,0.01,LPL
